index,title,score,gram,cost,category
0,北海道産牛乳使用 プチカップケーキ,評価なし,15個,258,1
1,甘辛するめ,評価なし,15g,90,2
2,皮付きさきいか,評価なし,66g,298,3
3,焼えいひれ,評価なし,18g,158,4
4,プロテイン入り フルーツシリアルクッキー,評価なし,1個,98,5
5,プロテイン入り 紅茶のシリアルクッキー,評価なし,1個,98,6
6,国産じゃがいも使用 ポテトチップス 抹茶塩味,3,55g,68,7
7,厚切りカット ポテトチップス 北海道産じゃがいも使…,5,60g,78,8
8,国産じゃがいも使用 ポテトチップス しお味,評価なし,60g,68,1
9,国産じゃがいも使用 ポテトチップス のりしお味,5,60g,68,2
10,国産じゃがいも使用 ポテトチップス コンソメ味,評価なし,60g,68,3
11,国産じゃがいも使用 ポテトチップス しお味,評価なし,160g,178,4
12,国産じゃがいも使用 ポテトチップス のりしお味,5,160g,178,5
13,国産じゃがいも使用 ポテトチップス コンソメ味,評価なし,160g,178,6
14,Free From 塩だけで味付けした 4種の野菜スナック …,5,40g,78,7
15,群馬県産こんにゃく粉使用 3種のこんにゃくゼリー,評価なし,384g(16g×24個),258,8
16,米油で二度揚げし香ばしい風味豊かな 白かりんと…,評価なし,140g,98,1
17,米油で三度揚げし黒蜜の風味豊かな 黒糖かりんと…,評価なし,150g,98,2
18,有機豆乳を使った カルシウムぼうろ,5,100g,158,3
19,5種のふんわりしっとりケーキ,評価なし,125g(個包装紙込み),278,4
20,抹茶とバニラのブッセ,3,92g(個包装紙込み),198,5
21,キューブチョコ チョコミント クランチビスケット入…,評価なし,45g,128,6
22,キューブチョコ バニラチョコ クランチビスケット入…,評価なし,45g,128,7
23,北海道産牛乳使用 厚切りバウムクーヘン,評価なし,9個,248,8
24,いか天スナック,5,41g,98,1
25,カマンベールチーズサンド,評価なし,75g,287,2
26,一夜干し風あたりめ,評価なし,32g,298,3
27,いかフライ瀬戸内レモン味,評価なし,33g,128,4
28,70%カカオ ブラックチョコレート&ビスケット,評価なし,130g(個包装紙込み),238,5
29,茎わかめ,評価なし,78g,298,6
30,するめそうめん,評価なし,15g,98,7
31,いか燻製,評価なし,20g,98,8
32,ピスタチオ,評価なし,73g,278,1
33,アーモンド,5,91g,278,2
34,カシューナッツ,評価なし,84g,278,3
35,3種のミックスナッツ,評価なし,82g,278,4
36,素煎り アーモンド,評価なし,91g,278,5
