id,candy_id,review,score,name,time
0,0,原材料表示を見ると、ビタミンが添加されているようだが成分表示に詳しいビタミン数値がない ＨＰでも良いので表示してもらえると分かりやすいのに,4.0,ダイエッターさん,2020.07.22
1,0,1本あたりのエネルギー172kcal、タンパク質15g、糖質6.7gで、ビタミンB群も含まれていて98円、最強のコスパ。 味はビターチョコレート風味で、食感は硬めでザクザクしており、自分好み。 箱買いしています。,5.0,PBマニアさん,2020.07.20
2,2,カロリーオフとかこういう商品は、美味しくないことが多いですが、凄く美味しかったです!チョコレート大好きですが、美味しいうえにこれでタンパク質も摂取出来るなんてとても感動しました！,5.0,ちょこさん,2020.07.25
3,3,この成分内容でこの価格。しかも美味しい。個人的に現時点で最強のプロテインバーです。,5.0,たぬぱらさん,2020.08.01
4,4,70%位のビターチョコが好きで、ビスケットの全粒粉入りのザクザク感も好みなのでリピートしています。,5.0,みみみさん,2020.06.18
5,4,板チョコクッキーが大好きで、常にストックしていたのですが見当たらず、いつもの場所に代わりにあったこちらを購入。 少ない。 よくある高カカオのエグイ大人の味かと尻込みしたものの、甘味も苦味もどっちつかずの風味。 クッキーはザックリともサクッともしておらず、存在感がない。 どの客層を狙っているのか、イマイチはっきりしない中途半端な味。 板チョコクッキーが最強のバランスと不動の美味しさだっただけに、残念で仕方ない。 まったく似て異なる商品。,2.0,板チョコクッキーラブさん,2020.06.13
6,4,甘いチョコレートとビスケットの組み合わせより ビターなこちらの方が食べやすくて好きです。 定番商品としてずっと置いてほしいです。,5.0,ないろさん,2020.06.08
7,4,以前売っていた板チョコクッキーがお気に入りだったのですが見当たらないので代わりに購入 チョコはカカオ70%の名の通りカカオが濃くて甘さはかなり控え目で大人の味付け クッキーは全粒粉のザクザク感があるけど以前の焦がしシュガーがなくて、口の水分が取られてしまう感じ 全体的に食べた後にざらっとした粉末感が残ってあまり心地よくない印象 本商品のターゲットと私の嗜好が合ってない事はパッケージから薄々感じていましたが正直あまりおいしいと感じませんでした。 本商品と板チョコクッキーがとなりに並んでいたら、間違いなく後者を選びます。,2.0,板チョコクッキーさん,2020.05.31
8,4,似たようなお菓子を食べたことがありますが、個人的にはこちらの方がサクッとしていて好きです。,5.0,あゆさん,2020.05.31
9,4,ブラックチョコだけでは、苦手ですが、ビスケットとの調和が程良く、常備して置きたい一品です。,5.0,ゆみちゃんさん,2020.05.30
